Item,"Sku Name","Sku Size",Style,"Order Number",Price,"Price Currency","Final Payout Amount","Final Payout Currency","Payout Method","Sale Date",Status
"Supreme Masterlock Numeric","Supreme Masterlock Numeric Lock Red",N/A,N/A,4550473-4450232,55,USD,48.3500,USD,ACH,"2019-02-23 20:23:44","Sale Complete"
"Supreme Backpack","Supreme Backpack (SS19) Black",N/A,N/A,4548155-4447914,205,USD,181.4250,USD,ACH,"2019-02-23 18:07:46","Sale Complete"
"Supreme Dish","Supreme Dish Towels (Set of 3) Multi",N/A,N/A,4546134-4445893,50,USD,43.5000,USD,ACH,"2019-02-23 16:19:51","Sale Complete"
"Supreme Waist","Supreme Waist Bag (SS19) Black",N/A,N/A,4542102-4441861,118,USD,104.4300,USD,ACH,"2019-02-23 09:10:52","Sale Complete"
"Supreme Kids","Supreme Kids Tee White",L,N/A,4538074-4437833,75,USD,66.3750,USD,ACH,"2019-02-23 02:11:33","Sale Complete"
"Supreme Metal Lighter","Supreme Metal Lighter Holster Silver",N/A,N/A,4536740-4436499,52,USD,45.4400,USD,ACH,"2019-02-23 00:36:29","Sale Complete"
"Supreme Fruit","Supreme Fruit Skateboard Deck Multi",N/A,N/A,4536250-4436009,62,USD,54.8700,USD,ACH,"2019-02-23 00:05:49","Sale Complete"
"Supreme Shoulder","Supreme Shoulder Bag (SS19) Black",N/A,N/A,4533268-4433027,120,USD,106.2000,USD,ACH,"2019-02-22 21:21:39","Sale Complete"
"Supreme Organizer","Supreme Organizer Pouch (SS19) Black",N/A,N/A,4531219-4430978,55,USD,48.3500,USD,ACH,"2019-02-22 19:31:34","Sale Complete"
"adidas Yeezy Boost 350 V2","adidas Yeezy Boost 350 V2 Static Reflective",11,EF2367,4363506-4263265,680,USD,601.8000,USD,ACH,"2019-02-12 19:02:47","Sale Complete"
"Supreme Reflective Small Box","Supreme Reflective Small Box Tee Red",M,N/A,4179833-4079592,65,USD,57.5250,USD,ACH,"2019-01-29 22:54:51","Sale Complete"
"Supreme Reflective Small Box","Supreme Reflective Small Box Tee White",M,N/A,3941706-3841465,70,USD,61.9500,USD,ACH,"2019-01-09 03:31:24","Sale Complete"
"Supreme The North Face Metallic Mountain","Supreme The North Face Metallic Mountain Parka Gold",L,N/A,3903486-3803245,400,USD,354.0000,USD,ACH,"2019-01-05 20:42:58","Sale Complete"
"Supreme Mike Kelley The Empire State Building","Supreme Mike Kelley The Empire State Building Tee Black",XL,N/A,3875953-3775712,68,USD,60.1800,USD,ACH,"2019-01-03 20:06:36","Sale Complete"
"Supreme The North Face Expedition (FW18)","Supreme The North Face Expedition (FW18) Jacket White",L,N/A,3837290-3737049,930,USD,823.0500,USD,ACH,"2018-12-31 09:47:31","Sale Complete"
"Extra Butter The North Face Nightcrawlers Knit Cuff","Extra Butter The North Face Nightcrawlers Knit Cuff Beanie Black",N/A,N/A,3759200-3658959,50,USD,43.5000,USD,ACH,"2018-12-26 07:33:54","Sale Complete"
"Extra Butter The North Face Nightcrawlers Roos II Sling","Extra Butter The North Face Nightcrawlers Roos II Sling Pack Multi",N/A,N/A,3738371-3638130,80,USD,70.8000,USD,ACH,"2018-12-24 14:58:18","Sale Complete"
"adidas Ultra Boost","adidas Ultra Boost OG (2018)",11.5,G28319,3388312-3288071,210,USD,185.8500,USD,ACH,"2018-12-01 21:07:23","Sale Complete"
"Supreme The North Face Expedition Fleece (FW18)","Supreme The North Face Expedition Fleece (FW18) Jacket White",L,N/A,3380979-3280738,735,USD,650.4750,USD,ACH,"2018-12-01 06:29:00","Sale Complete"
"Supreme Mike Kelley The Empire State Building","Supreme Mike Kelley The Empire State Building Tee White",XL,N/A,3365580-3265339,55,USD,48.3500,USD,ACH,"2018-11-30 05:40:07","Sale Complete"
"Supreme Female Anatomy","Supreme Female Anatomy Model Clear",N/A,N/A,3271396-3171155,75,USD,66.3750,USD,ACH,"2018-11-24 01:29:05","Sale Complete"
"Supreme Female Anatomy","Supreme Female Anatomy Model Clear",N/A,N/A,3265584-3165343,75,USD,66.3750,USD,ACH,"2018-11-23 23:04:28","Sale Complete"
"Supreme Brooklyn Box Logo","Supreme Brooklyn Box Logo Tee White",XL,N/A,3246870-3146629,700,USD,619.5000,USD,ACH,"2018-11-23 15:51:19","Sale Complete"
"Supreme Mike Kelley The Empire State Building","Supreme Mike Kelley The Empire State Building Tee White",M,N/A,3246143-3145902,55,USD,48.3500,USD,ACH,"2018-11-23 15:34:46","Sale Complete"
"Supreme Mike Kelley The Empire State Building","Supreme Mike Kelley The Empire State Building Tee White",M,N/A,3243367-3143126,55,USD,48.3500,USD,ACH,"2018-11-23 14:08:30","Sale Complete"
